DrugID,DrugName,CID,ChEBI_ID
34,"1alpha,24S-Dihydroxyvitamin D2",9547261,
35,1alpha-Hydroxyvitamin D5,10025615,
36,"2,4-Diamino-5-(3,4,5-Trimethoxy-Benzyl)-Pyrimidin-1-Ium",446998,
37,"2,4-thiazolidinedione",5437,CHEBI:50992
38,"2,5-Dimethoxy-4-ethylamphetamine",27402,CHEBI:191249
39,"2,5-Dimethoxy-4-ethylthioamphetamine",10264356,
40,2-(4-Chlorophenyl)-5-Quinoxalinecarboxamide,657038,
41,2-Fluoroadenosine,8975,CHEBI:39740
42,2-Methoxyestradiol,66414,CHEBI:28955
43,2-Methoxyethanol,8019,CHEBI:46790
44,2-chloro-5-[(1S)-1-hydroxy-3-oxo-2H-isoindol-1-yl]benzenesulfonamide,688424,
45,2-chloroethyl-3-sarcosinamide-1-nitrosourea,100773,
46,25-desacetylrifapentine,135564528,
47,"3,4-Dihydroxybenzoic Acid",72,CHEBI:36062
48,"3,5-Diiodotyrosine",6181,
49,"3,5-Dinitrocatechol",3870203,
50,"3,5-diiodothyropropionic acid",160565,CHEBI:134267
51,3-isobutyl-1-methyl-7H-xanthine,3758,CHEBI:34795
52,"4-Bromo-2,5-dimethoxyamphetamine",62065,
53,"4-Bromo-2,5-dimethoxyphenethylamine",98527,CHEBI:189669
54,4-Hydroxytestosterone,160615,CHEBI:173052
55,4-Methoxyamphetamine,31721,
56,4-Oxoretinol,5289090,CHEBI:44597
57,4-hydroxycoumarin,54682930,CHEBI:40070
58,5-(2-methylpiperazine-1-sulfonyl)isoquinoline,3542,CHEBI:43385
59,5-androstenedione,160531,CHEBI:83865
60,5-fluorouridine,9427,CHEBI:40154
61,"5-methoxy-N,N-dimethyltryptamine",1832,CHEBI:2086
62,5-methyltetrahydrofolic acid,135415868,
63,5beta-dihydrotestosterone,11302,CHEBI:2150
64,"6-CHLORO-3-(DICHLOROMETHYL)-3,4-DIHYDRO-2H-1,2,4-BENZOTHIADIAZINE-7-SULFONAMIDE 1,1-DIOXIDE",6604229,
65,6-Deoxyerythronolide B,121904,CHEBI:16089
66,6-O-benzylguanine,4578,
67,"6S-5,6,7,8-Tetrahydrobiopterin",135509079,
68,"7,8-Dichloro-1,2,3,4-tetrahydroisoquinoline",123920,CHEBI:160129
69,"7,9-Dimethylguanine",131704185,
70,7-((Carboxy(4-Hydroxyphenyl)Acetyl)Amino)-7-Methoxy-(3-((1-Methyl-1h-Tetrazol-5-Yl)Thio)Methyl)-8-Oxo-5-Oxa-1-Azabicyclo[4.2.0]Oct-2-Ene-2-Carboxylic Acid,5488645,CHEBI:94604
71,7-(2-Amino-2-Phenyl-Acetylamino)-3-Chloro-8-Oxo-1-Aza-Bicyclo[4.2.0]Oct-2-Ene-2-Carboxylic Acid,12897341,
72,7-Deazaguanine,135408714,CHEBI:190453
73,7-Hydroxystaurosporine,72271,CHEBI:221840
74,7-Nitroindazole,1893,CHEBI:40287
75,8-azaguanine,135403646,CHEBI:63486
76,8-chlorotheophylline,10661,CHEBI:59771
77,9-(N-methyl-L-isoleucine)-cyclosporin A,6473876,
78,9-Beta-D-Xylofuranosyl-Adenine,447916,CHEBI:46515
79,9-Deazaguanine,135461003,
80,9-Methylguanine,135403591,
81,9-aminocamptothecin,72402,CHEBI:80755
82,AICA ribonucleotide,65110,CHEBI:18406
83,ALT-2074,130165,
84,AMG-222,11977989,
85,AS-8112,10993014,
86,AZD-3043,10286834,
87,AZD-5991,131634760,
88,Abacavir,441300,CHEBI:421707
89,Abafungin,159326,CHEBI:76005
90,Abametapir,15664,CHEBI:192617
91,Abediterol,11962616,CHEBI:142077
92,Abemaciclib,46220502,CHEBI:233362
93,Abexinostat,11749858,CHEBI:92223
94,Abiraterone,132971,CHEBI:68642
95,Abrocitinib,78323835,
96,Acalabrutinib,71226662,CHEBI:167707
97,Acamprosate,71158,CHEBI:51041
98,Acarbose,9811704,
99,Acebutolol,1978,CHEBI:2379
100,Aceclofenac,71771,CHEBI:31159
101,Acefylline,69550,CHEBI:94615
102,Acemetacin,1981,CHEBI:31162
103,Acenocoumarol,54676537,CHEBI:53766
104,Acepromazine,6077,CHEBI:44932
105,Aceprometazine,26035,CHEBI:53770
106,Acetaminophen,1983,CHEBI:46195
107,Acetate,175,CHEBI:30089
108,Acetazolamide,1986,CHEBI:27690
109,Acetoacetic acid,96,CHEBI:15344
110,Acetohexamide,1989,CHEBI:28052
111,Acetophenazine,17676,CHEBI:2401
112,Acetyl sulfisoxazole,6662,CHEBI:135975
113,Acetylamino-Acetic Acid,10972,CHEBI:40410
114,Acetylcholine,187,CHEBI:15355
115,Acetylcysteine,12035,CHEBI:28939
116,Acetyldigitoxin,5284512,CHEBI:53773
117,Acetyldigoxin,11765960,
118,Acetylleucine,1995,CHEBI:166830
119,Acetylsalicylic acid,2244,CHEBI:15365
120,Acipimox,5310993,CHEBI:94688
121,Acitretin,5284513,CHEBI:50173
122,Aclarubicin,451415,CHEBI:74619
123,Aclidinium,11434515,CHEBI:65346
124,Acotiamide,5282338,CHEBI:34523
125,Acrivastine,5284514,CHEBI:83168
126,Acteoside,5281800,CHEBI:132853
127,Acyclovir,135398513,CHEBI:2453
128,Adagrasib,138611145,CHEBI:233309
129,Adefovir,60172,CHEBI:2469
130,Adefovir dipivoxil,60871,CHEBI:31175
131,Ademetionine,34755,CHEBI:67040
132,Adenine,190,CHEBI:16708
133,Adinazolam,37632,CHEBI:251412
134,Adipiplon,11198924,
135,Adrafinil,3033226,CHEBI:135200
136,Afatinib,10184653,CHEBI:61390
137,Afimoxifene,449459,CHEBI:44616
138,Agmatine,199,CHEBI:17431
139,Agomelatine,82148,CHEBI:134990
140,Ajmaline,6100671,
141,Alanosine,90657278,
142,Alaproclate,2081,CHEBI:91544
143,Albaconazole,208952,
144,Albendazole,2082,CHEBI:16664
145,Albuterol,2083,CHEBI:2549
146,Alcaftadine,19371515,CHEBI:71023
147,Alclofenac,30951,CHEBI:31183
148,Alclometasone,5311000,CHEBI:53776
149,Alcloxa,136146352,
150,Alcuronium,21158560,CHEBI:55313
151,Aldosterone,5839,CHEBI:27584
152,Aldoxorubicin,9810709,
153,Alectinib,49806720,CHEBI:90936
154,Alendronic acid,2088,CHEBI:2567
155,Alexitol sodium,91663271,
156,Alfacalcidol,5282181,CHEBI:31186
157,Alfaxalone,104845,CHEBI:34531
158,Alfentanil,51263,CHEBI:2569
159,Alfuzosin,2092,CHEBI:51141
160,Algestone,11687,CHEBI:763
161,Algestone acetophenide,5284538,CHEBI:49327
162,Alimemazine,5574,CHEBI:9725
163,Aliskiren,5493444,CHEBI:601027
164,Alitretinoin,449171,CHEBI:50648
165,Allicin,65036,CHEBI:28411
166,Allobarbital,5842,CHEBI:134875
167,Alloin,9866696,CHEBI:73222
168,Allopurinol,135401907,CHEBI:40279
169,Allylestrenol,235905,CHEBI:31189
170,Almasilate,131704329,
171,Alminoprofen,2097,CHEBI:31190
172,Almotriptan,123606,CHEBI:520985
173,Alogliptin,11450633,CHEBI:72323
174,Aloglutamol,72941505,
175,Alosetron,2099,CHEBI:253342
176,Alpelisib,56649450,CHEBI:93752
177,Alphacetylmethadol,22308,
178,Alphaprodine,120738,CHEBI:135075
179,Alprazolam,2118,CHEBI:2611
180,Alprenolol,2119,CHEBI:51211
181,Alprostadil,5280723,CHEBI:15544
182,Altrenogest,10041070,CHEBI:191255
183,Altretamine,2123,CHEBI:24564
